SGO Report ID,SGO Report Version,Year Month,Location,Crash Type,Is NHTSA Reportable In-Transport,Is NHTSA Reportable In-Transport Delta-V Less than 1 MPH,Is Police-Reported,Is Any-Injury-Reported,Is Airbag Deployment,Is Suspected Serious Injury+,Incident Date,Location Address / Description,Zip Code
30270-7075,2,202402,SAN_FRANCISCO,Cyclist,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,02/06/2024,17th Street at Mississippi Street,94107
30270-7162,1,202401,SAN_FRANCISCO,Secondary Crash,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,01/21/2024,intersection of Market Street at Hermann Street and Guerrero Street,94103
30270-7161,1,202401,SAN_FRANCISCO,V2V Intersection,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,01/12/2024,26th Street at Castro Street,94114
30270-7160,1,202401,PHOENIX,V2V Intersection,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,01/03/2024,E. Indian School Road at N. 87th Place,85251
30270-7159,1,202401,PHOENIX,V2V F2R,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,01/17/2024,S. McClintock Drive at the intersection with the on and off ramps for westbound Highway 60,85282
30270-7158,1,202401,PHOENIX,Secondary Crash,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,01/15/2024,S. 16th Street at E. Buckeye Road,85034
30270-7157,3,202401,LOS_ANGELES,V2V Head-on,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,01/08/2024,Manhattan Place at West Adams Boulevard,90018
30270-7156,1,202401,PHOENIX,V2V Backing,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,01/08/2024,E. Van Buren Street and N. 30th Street.,85008
30270-7071,1,202401,SAN_FRANCISCO,V2V Lateral,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,01/31/2024,Potrero Avenue near 22nd Street,94110
30270-7058,1,202401,PHOENIX,Single Vehicle,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,01/27/2024,Parking lot entrance on N. Portales Place,85251
30270-7054,1,202401,PHOENIX,Single Vehicle,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,01/25/2024,N. 40th Street past Washington Street,85034
